,animal_id,animal_type,outcome_type
51549,A745373,Dog,Return to Owner
51550,A733317,Dog,Adoption
51551,A729946,Dog,Return to Owner
51552,A720191,Other,Return to Owner
51553,A701356,Dog,Adoption
51554,A631804,Dog,Return to Owner
51555,A681491,Dog,Return to Owner
51556,A730378,Dog,Return to Owner
51557,A599775,Cat,Return to Owner
51558,A758938,Cat,Transfer
51559,A748803,Dog,Adoption
51560,A753352,Other,Euthanasia
51561,A706445,Dog,Adoption
51562,A715070,Dog,Return to Owner
51563,A721062,Other,Adoption
51564,A734598,Cat,Adoption
51565,A753843,Cat,Return to Owner
51566,A734778,Dog,Return to Owner
51567,A756320,Dog,Transfer
51568,A711671,Other,Adoption
51569,A763260,Dog,Adoption
51570,A718521,Dog,Transfer
51571,A756102,Dog,Transfer
51572,A749934,Dog,Adoption
51573,A757281,Cat,Adoption
51574,A697533,Dog,Adoption
51575,A728925,Cat,Euthanasia
51576,A756301,Cat,Adoption
51577,A697838,Cat,Adoption
51578,A732876,Cat,Transfer
51579,A759278,Dog,Transfer
51580,A757646,Dog,Transfer
51581,A703241,Cat,Transfer
51582,A755384,Dog,Transfer
51583,A704395,Dog,Return to Owner
51584,A715006,Cat,Adoption
51585,A752521,Cat,Adoption
51586,A713709,Dog,Adoption
51587,A738679,Dog,Return to Owner
51588,A737699,Dog,Return to Owner
51589,A729964,Cat,Transfer
51590,A745195,Dog,Return to Owner
51591,A741002,Dog,Adoption
51592,A754170,Dog,Return to Owner
51593,A731444,Dog,Adoption
51594,A755307,Dog,Return to Owner
51595,A732739,Dog,Transfer
51596,A708955,Dog,Adoption
51597,A706278,Dog,Transfer
51598,A703341,Dog,Adoption
51599,A726050,Dog,Return to Owner
51600,A725717,Cat,Transfer
51601,A714746,Dog,Adoption
51602,A758185,Dog,Adoption
51603,A716199,Cat,Adoption
51604,A716594,Cat,Adoption
51605,A727025,Other,Euthanasia
51606,A710015,Dog,Return to Owner
51607,A699222,Dog,Transfer
51608,A734407,Dog,Adoption
51609,A724334,Dog,Euthanasia
51610,A730330,Dog,Adoption
51611,A719495,Dog,Transfer
51612,A753757,Dog,Adoption
51613,A713003,Cat,Adoption
51614,A696868,Dog,Return to Owner
51615,A707113,Cat,Adoption
51616,A713911,Other,Euthanasia
51617,A719318,Cat,Adoption
51618,A717710,Dog,Return to Owner
51619,A763295,Dog,Adoption
51620,A755227,Cat,Adoption
51621,A731133,Dog,Transfer
51622,A756876,Dog,Adoption
