,Animal ID,Type,Outcome Type
8574,A346933,Dog,Return To Owner
8575,A312140,Cat,Euthanize
8576,A391568,Cat,Transfer
8577,A365113,Dog,Transfer
8578,A335972,Dog,Transfer
8579,A305740,Dog,Adoption
8580,A304621,Cat,Euthanize
8581,A346368,Dog,Adoption
8582,A346924,Cat,Adoption
8583,A373932,Dog,Return To Owner
8584,A356324,Cat,Transfer
8585,A341221,Cat,Adoption
8586,A326996,Dog,Transfer
8587,A373742,Dog,Adoption
8588,A328710,Dog,Return To Owner
8589,A387895,Cat,Transfer
8590,A364925,Dog,Transfer
8591,A390245,Cat,Return To Owner
8592,A352668,Cat,Adoption
8593,A313112,Dog,Euthanize
8594,A324239,Cat,Euthanize
8595,A321225,Dog,Transfer
8596,A349286,Cat,Euthanize
8597,A335060,Cat,Euthanize
8598,A268763,Dog,Return To Owner
8599,A238728,Dog,Return To Owner
8600,A332206,Cat,Euthanize
8601,A311075,Dog,Return To Owner
8602,A376233,Cat,Euthanize
8603,A326096,Dog,Adoption
8604,A282059,Dog,Return To Owner
8605,A295681,Cat,Transfer
8606,A377103,Cat,Euthanize
8607,A301022,Dog,Return To Owner
8608,A256294,Dog,Return To Owner
8609,A308643,Dog,Adoption
8610,A391205,Cat,Transfer
8611,A214171,Dog,Return To Owner
8612,A341218,Cat,Euthanize
8613,A226017,Dog,Return To Owner
8614,A314133,Dog,Return To Owner
8615,A347129,Dog,Adoption
8616,A385988,Cat,Transfer
8617,A307286,Dog,Return To Owner
8618,A390834,Cat,Disposal
8619,A335633,Cat,Euthanize
8620,A386013,Cat,Transfer
8621,A325053,Dog,Return To Owner
8622,A307849,Dog,Euthanize
8623,A340647,Cat,Euthanize
8624,A323938,Dog,Return To Owner
8625,A304617,Dog,Return To Owner
8626,A354685,Other,Adoption
8627,A346418,Dog,Adoption
8628,A324160,Dog,Adoption
8629,A312358,Dog,Return To Owner
8630,A360623,Cat,Transfer
8631,A343311,Dog,Return To Owner
8632,A383598,Dog,Return To Owner
8633,A310032,Dog,Adoption
8634,A321152,Cat,Adoption
8635,A327102,Other,Euthanize
8636,A384515,Dog,Transfer
8637,A370589,Dog,Adoption
8638,A375334,Dog,Adoption
8639,A366735,Dog,Transfer
8640,A326255,Cat,Adoption
8641,A339540,Dog,Adoption
8642,A384437,Dog,Transfer
8643,A369472,Dog,Transfer
8644,A305635,Dog,Return To Owner
8645,A357502,Dog,Return To Owner
8646,A333291,Dog,Return To Owner
8648,A341699,Dog,Return To Owner
8649,A366646,Other,Transfer
8650,A303227,Other,Adoption
8651,A329116,Dog,Adoption
8652,A310077,Dog,Adoption
8653,A299918,Dog,Transfer
8654,A345668,Cat,Transfer
8655,A341577,Dog,Adoption
8656,A370634,Dog,Euthanize
8657,A346511,Dog,Adoption
8658,A015167,Dog,Return To Owner
8659,A391852,Dog,Transfer
8660,A349171,Cat,Adoption
8661,A375246,Cat,Return To Owner
8662,A308688,Other,Transfer
8663,A210239,Dog,Return To Owner
8664,A365444,Cat,Transfer
8665,A356212,Cat,Return To Owner
8666,A353704,Cat,Euthanize
8667,A331979,Dog,Adoption
