,city,country,id,latitude,longitude,name,state,zip
8401,Beulah,US,MI1024,44.6483,-86.06200000000003,"Tina's Bed and Biscuit, Inc",MI,49617
8402,Eagle,US,MI79,42.8879,-84.7137,"Great Lakes Border Collie Rescue, Inc.",MI,48822
8403,Fort Wayne,US,IN267,41.1934,-85.1147,"Perfect Paws Pet Rescue, Inc.",IN,46845
8404,Marion,US,IN283,40.5747,-85.6704,GRACIES H.E.A.R.T. OF GOLD,IN,46952
8405,Marion,US,IN322,40.5747,-85.6704,ROCK Rescue,IN,46952
8406,MARION,US,IN427,40.5747,-85.6704,MARION ANIMAL CARE AND CONTROL,IN,46952
8407,Fort Wayne,US,IN24,41.0953,-85.1624,Fort Wayne Animal Care & Control,IN,46808
8408,New Hampton,US,IA183,43.0611,-92.3168,Spay Neuter All Pets of Chickasaw County,IA,50659
8409,Fort Wayne,US,IN458,41.1306,-85.1289,Aboite Feline Sanctuary & Adoption Center,IN,46814
8410,Fort Wayne,US,IN654,41.1306,-85.1289,SOUL Dog Rescue and Rehab,IN,46899
8411,Fort Wayne,US,IN660,41.1306,-85.1289,Fort Wayne Pit Bull Coalition,IN,46867
8412,Merrill,US,WI28,45.1876,-89.6991,Lincoln County Humane Society,WI,54452
8413,Marion,US,IN112,40.5342,-85.6615,Marion-Grant County Humane Society,IN,46953
8414,Lansing,US,MI909,42.7362,-84.6222,Naked K9 & Small Dog Rescue,MI,48917
8415,Butler,US,IN171,41.435,-84.8941,DeKalb Humane Society,IN,46721
8416,Cadillac,US,MI96,44.262,-85.4171,Wexford County Animal Shelter,MI,49601
8417,Clinton,US,IN63,39.6934,-87.4113,Parke-Vermillion Co. Humane Society,IN,47842
8418,Paris,US,IL426,39.617,-87.6956,Paul Warner Rescue,IL,61944
8419,Paris,US,IL52,39.617,-87.6956,Doberman & Rottweiler Rescue,IL,61944
8420,Paris,US,IL688,39.617,-87.6956,Rescue ME Clifford,IL,61944
8421,Paris,US,IL893,39.617,-87.6956,Edgar County Humane Association,IL,61944
8422,Fort Wayne,US,IN433,41.107,-85.0624,EB Feline Rehoming,IN,46815
8423,Lansing,US,MI34,42.6813,-84.5757,Hounds Haven Animal Rescue,MI,48911
8424,Waverly,US,IA143,42.7316,-92.4715,Waverly Pet Rescue,IA,50677
8425,Waverly ,US,IA252,42.7316,-92.4715,Vic's Legacy ,IA,50677
